Comments,Ratings
"Too often, iconic signature hotels prove to be a disappointment - this definitely wasn't the case at MBS. The hotel is stunning and the service was impeccable. We'd booked to have an Orchid suite so had the advantage of quick check in and access to the Club Lounge. On arrival we found we'd been upgraded to a Sands suite which was fantastic. Superb views of Gardens on The Bay and we even had a pool table in our suite. The pool was as spectacular as it looks in photos - and when we visited just before Christmas, it wasn't too busy. We easily got pool side loungers. The service in the club lounge was some of the best we've ever experienced. All in all we couldn't fault MBS and hope to return.",5
"Great hotel to stay in if you are coming to Singapore for a holidays or even a short staycation for Singaporean. The service from the receptionist, porters, security personnel, cleaners basically every staffs who saw you, they will greet you with a smile. It is not easy to make every single staff in the hotel to do this.   The only challenge is that when you want to go for supper, the surrounding area had nothing much to eat as you need to travel quite a distance out and the hotel room price is abit high for some commoners to try it. To me why you paying this rate is because of the fantastic location and greats views you can see in the day and night, by over looking the Garden by the bay, Singapore river, esplanade,boat quay,clarke q etc..",4
Incredible place. Let us check in early and we had an amazing room on the 44th floor. Swimming pool was incredible and whilst busy (and the hotel was full) we always found a sunbed and managed to get drinks relatively easily. Breakfast was noisy but very slick service and lovely food. The sky bar on the 57th floor is great as is Adrift restaurant. The gym is well equipped with two Olympic bars and treadmills facing the city on the 55th floor!   Only bad thing was that we had to leave! ,5
"Being a Singaporean based abroad, it is rare that I ever stay in hotels when I return home.   We were treated to a night at MBS as a gift and we were upgraded to a city view room overlooking the marina bay financial district, the Fullerton hotel, the esplanade and the rest of Singapore's skyline.  The view was incredible.... The infinity pool provided an incredible experience that lived up to the photos I had seen and the stories I have heard from other people's experiences.   Will be back if we can. Won't be anytime soon. But would be an awesome experience for anyone.",5
"Transit in Singapore for 1 night at the orchid suite :  Pros ：  1. Lobby looks great 2. Concierge services is good 3. Bellboy is good 4. Rise restaurant at lobby is good (plenty of choices) 5. Amazing scene at Sky 57 5. Bath pressure is good 6. Windows curtain is good 7. Sleep quality is good 8. Pool table in the room is good 9. Shopping centre next door 10. Attraction next door  Cons:   1. Living area in suite room is too simple as like a 3 - 4 star apartment.  2. Sky 57 is the worst breakfast experience      a. Lack of choices for breakfast (like apartment breakfast)     b. All the tea spoon hidden      c. The ladies serving like day dream, they not even can find a place, and finally we    need to show them the empty seat.     d. The only guy at the open area should have more…",1
"Excellent check-in. Décor is starting to age a bit, but still maintained well and the huge Christmas tree was very nice to see in Asia during the festive season. Rooms excellent as usual. Deck on the top floor very crowded, but well maintained. View still phenomenal. Restaurants were very good. Bar crowded but good. Overall still an excellent choice, even if competition is offering other excellent places to stay as well.",5
"Great hotel, excellent location! We stayed here for 2 nights and had a wonderful time if you don't want to explore the city or have been to Singapore before the restaurant choices at the hotel should cover everyone's tastes as well as the different bar scenes. The pool is amazing and one to tick off the bucket list, the shopping is close by and the food court in the mall had some nice choices. If you haven't seen the gardens by the sea it is well worth the stroll across the road.",5
"We went to the roof-top pub in Marina Bay sands. The view from here was magical. There were interesting options for cocktails and super friendly staff. We did not have access to the pool, since that is open for people who are residing in the hotel itself.",4
"Never stay at the hotel buy always one of my destination to visit whenever i am in sg beside ion orchard. Good priveleges for foreigners as well as loads of awesome exhibitions. Beside exhibitions, there is a casino as well as a theater so loads of stuffs to do here. U gotta make the mbs membership, it allows u to get discounts as well as collect points/dollars that can be used for loads of things, one of them is free parking/valet!! The current promo that they are having is 100 dollar vouchers for every 1000 dollar purchase (limited to 60 a day) till the end of 31 dec 2015...so i guess...my fellow shoppers....shopping spree time!!",5
"This place is a joke. I'd booked it for my husband's birthday as he wanted a nice family photo in the infinity pool. We lined up to check in for about 30 minutes! Then we lined up to get a seat by the pool. Then we lined up for the tiny jacuzzi with about 50 people jammed into it. You line up for the elevators, for breakfast, to check-in, to check-out, and pretty much everything else. We felt cattle being shunted around in here.There are crowds literally EVERYWHERE!  The Infinity Pool has a pretty lame and sparse menu so you'd better enjoy Club Sandwiches. For what you pay here, you'd receive amazing service at pretty much any other hotel. The upside was the room - we were on the 45th floor and the view was amazing. Done it once, won't be coming back here again...",3
"The hotel is excellent, service is excellent, the buffet lunch in the ground floor restaurant is very good value for a hotel meal. Free access to rooftop garden and pool, saves you a visit to the eye Ferris wheel. Views from either side of hotel magnificent.but garden side lets you view nitetimeshows of floowwoer garden from comfort.Access to shopping mall and railway under cover. You could spend almost your entire holiday in airconditioned comfort if you stay at marina bay sands. Loved it so much, have stayed twice and my wife hs been 3 times",5
"The hotel is not cheap.  However, the general feeling was the hotel operated like a mass production service.  Check in took a long time (30-40 mins), the main attraction (infinity pool) was overloaded with people and I mean over loaded (I live in Hong Kong). In reflection, I think the whole purpose of the hotel itself was for people to stay there and get a selfie in the pool, and sure there were magnificent city views. Also the lifts were constantly full.  We stayed on the 33-34th floors in Towers 3 and also rooms in Tower 2.  It could take up to 15 minutes to get down during check in and check out times, breakfast etc... Not the relaxing city getaway we were hoping for, instead we got a battle and much too busy experience for a price that we would never pay for again.",2
The best experience out of all my precious Hotel experiences. Expensive but a great value for money Infinity pool is a Must and a lifetime experience .. Take-care you cant access the pool unless you are a n Hotel Guest.  .  Casino was so Nice  Mall and restaurants were elegant and really nice covering all the varieties,5
"Awesome!   It offers great view of the city, top of the line amenities and quality service!   Simply the best in Singapore!   I love the spacious rooms and comfortable beds.  I stayed here with my Manulife PH team and we received a warm welcome. Nice treat to the Manulife family.   The Filipino staff are usually warm and welcoming.   If you have extra money, you may want to stay here. But not recommended if you are on a budget.   Just enjoy the night life in the area and watch the water and light show every night!",5
"If MBS is a multi star hotel, I doubt it worth it, even I am a Singaporean. I will find Pan Pacific or Oriental or even Westin Stamford be a better choice.  It's a pricy trap or I should say a pricy stay for tourists. Shopping alone is a bomb, dining is a killer. Prices are at least double or triple from the outside given the same plate of food that you may find outside.  My worst impression was checking out the valet cashier. In house hotel guest supposed to enjoy flat rate 12$. Check out timing was at 12 and the valet counter was freaking packed, long queue. Was charged extra for the late car checkout. The cashier replied me that I was late, and I pointed out please see your queue. I'd checked out already. Cashier said, sir your waiting time in the queue wasn't that long…",1
"Excellent view of The Gardens by the Bay from Bay side room, if you are looking relaxing time, must drinks Margarita in the pool, Sky park (Infinity Pool). Room service was exceller to. Near Mall and Museum. !!",5
"Splendid infrastructure and amenities.  Did not managed to head to the roof due to bad weather.  Very posh and established.  Wandered to the casino just to have a look see but was confused and amazed at the layers of security.  Had to check in a knapsack but was told I had to finish the water in my water bottle. Had to check passports close to 6 times including checking in my bag and on the way out.  Other than that, nice establishment",3
"Service from the staff has to be commended. The guys at the concierge were quick and efficient. The front desk staff were courteous. The waiters and waitresses at Sky on 57 were also very polite and courteous. The only comment i have for Sky on 57 was the loud instructions by the chef that can be heard in the dining area overlooking the city. The room we had was great, overlooking the Gardens by the Bay.   Access to the mall is very good. Lots of good places to wine and dine. Overall a good experience for me and the wife.",4
"The room has a good overview of gardens by the bay.. Me and wife totally love it. Wanted to give a surprise to my wife as it was our wedding anniversary, I approached a staff named shiying who helped to surprise my wife with a Swan decoration with rose petals on the bed after we came back for a swim.. appreciate what she have done for us. Will definitely come back for stay vacation in the future!!",5
"Central. Near Gardens by the Bay and Bayfront mrt station. Room service was excellent. I called at least 3 times, every time it arrived within 15mins.  Big, spacious and very clean room. With great views. Will go back for another staycation.",4
"Stayed in the family suite which was amazing. The room is spacious with a king sized bed, two single beds, sofa settees, balcony, ... and a beautiful view of the Super Trees at the Gardens by the Bay. The swimming pool at the top of the building is breath-taking. Only downside was that the water in the pool is icy cold. Got to be really brave to take the first plunge and after the body adjusted to the temperature, it would be ok.",5
Will give this hotel a top rating if not for the LONG queue to check in and check out and incident at the rooftop pool where we cant find any towel when they suddenly closed the pool due to the storm. The staff told me and my family while we are still wet to go down to our own room to get the towel and dry up there as they cant give us the towel due to the towel booth is closed. I cant believed the staff dont have any spare towel in the storage room or staff room.,4
"i have to wait for more than 2 hours for the room to be ready, the hotel last July was jumpacked! room has nothing special but its really clean! my room has a balcony facing the garden which made me satisfy. the pool was not as i expect it to be. i couldnt deny the fact that the hotel facade/ structure is very mindblowing.  note: it is a busy and crowded hotel so i would not recommend it to someone who's looking for a relax and quiet environment. ",4
"Be it the Gardens by the Bay view or the City view, even the most basic room is worth it. Spacious and has all the necessary frills to get your going.   The service is commendable. Quick, prompt and courteous.   Love the TWG tea selection.   Only issue I had was with the wifi, whereby you have to log in every time you enter the room, which is a hassle. The pillows could also be firmer.",4
"awesome location if you have a room facing the lake! you can see the mer lion, and the laser light show from the french windows that run from wall to wall in the upper storey suites. you can request for a higher storey when you book or when you check in. i felt it was a waste of time to sleep while staying there.  but on the flip side, it is one of the most expensive hotels in singapore",5
"We stayed in the club rooms which included a spacious room on the 20th floor with exceptional views of the the City as well as the sea, access to the breakfast, tea and afternoon drinks at the club house located on the 55th floor, and to the infinity pool on the 57th floor.   If you are a foodie you will enjoy this package as they change the menu for tea every single day. There are a variety of choices for all meals and the chefs are very creative. Drinks were included which meant a variety of alcoholic beverages including champagne.   The Room was comfortable although the bed was a bit too stiff for me. Complementary tea and coffee was available but all items in the fridge were priced. Be wary of taking any drinks from the fridge as they use a sensor to detect if any drinks…",4
"Positive Feedback: - best infinity pool  - friendly staffs, great customer service - clean room, comfy bed and pillows, spacious room - modern hotel design   Negative Feedback: - expensive but worth it lol",5
"We were encouraged to visit Marina Bay Sands by other visitors to Singapore but our experience was disappointing.  The complex is amazing from a distance and promised much.  Unfortunately on our arrival the Sky Bar was closed due to poor weather, but we were invited instead to the Club lounge, also on the 57th floor.  The views were expansive, but not that different from other viewpoints we had visited in Singapore.  The Club Lounge was open- but most of it was enclosed in scaffolding due to renovations taking place.  We were ushered to a narrow balcony, with a small table and no stools.  Having come this far we decided to order a drink- a beer and a Sangria came to $48!  A bit pricy at a stand up bar!  Anyway been there, done that- can only imagine what it costs to eat there!",3
"If you can, get a room that allows you access to the club.We had a city view on the 49 floor it was spectacular. This hotel is exceptional and very unique.All the staff are amazing and made our time here very special",5
"Honestly, I was expecting much more in terms of bedrooms. The building is something that deserves a visit as well as the pool, but to stay there is quite expensive for the experience since the rooms are not better than other offers in the town. So, if you can visit the pool try this alternative instead paying high amounts of money to sleep there!",4
"Love the infinity pool but was very busy, really wasn't meant for swimming, more just for photos and a good view! The sky bar is super expensive as are the shops and food below. I was upgraded to a suite which was stunning and really enjoyed my stay here.",4
"This was our 2nd stay here and we were just as impressed by the design, architecture, facilities and excellent service provided. Yes it is expensive but at least you feel that you got what you paid for and afterall luxury by it's very defination is expensive. The higher floors have less street noise and better views. The views from either side of the towers are amazing. Visit the infinity pool at night to enjoy the lights of the city. Treat yourself to at least a couple nights here. You know you are worth it.",5
"The best hotel I stayed in ever. Simply, you can enjoy every moment and every place in this hotel. The restaurants, the pool, and shopping mall and even the loopy are above my expectation. The room, reception, and staff were unbelievable, you are in the right place.  ",5
"Overall, our stay was okay. It was easy to check-in since most of the people responsible for it are Filipinos. One thing though, we paid so much money for the hotel but the room we got was kinda disappointing. It was small for the price. You would get a much more spacious room with breakfast buffets for much much less. Well, I can't blame them. We pay for the name of the hotel.  I enjoyed greatly the infinity pool. IT WAS AWESOME! Especially during sunrise and sunset. Although I had fun with the infinity pool, this is a one time deal for me. I would allot my money to something different rather than staying there again. If I become rich that's when I'd probably come back. Haha",4
"The hotel is enormous, lush plants, rivers, cascades, bridges, various restaurants for all tastes, Casino, Museum and the most luxurious designer shops are ready to part you from you money and entertain you.  The rooms are excellent, with superb views and the staff are discreet, very polite and pleasant. The Infinity pool at the level 57 is a magical experience, view, palm trees and all, but the restaurant next door, is not really suited for the ones without a head for heights.  The price for your stay there is appropriate for the quality of this unforgettable place, which I strongly recommended.  I actually returned there soon after, just to enliven the experience.",5
Amazing as always. I think I have not written a review about it yet. So here goes...  I really hate the crowds here but their product is amazing. The view especially with the garden by the bay christmas special!  Staff are clearly overworked with the enormous crowds coming in but I think they are doing a great job!,5
"If you spend any time in Singapore, spend at least one night at the Marina Bay Sands.  We had booked the Premier room with 2 x double bed of our family of room.  The room size is quite decent.  The hotel itself is massive and quite a bit of walking to do within the hotel itself :-) The Infinity Pool on the rooftop is marvelous.  Hang over the edge and view the skyline which is breathtaking.   The hotel is pricey but for our family of 4 it was worth it and part of our Singapore experience.",5
If you go to Singapore you have to stay here at least one night.  Incredible hotel.  Nice rooms.  Good food. Great location - park nearby for running and mall across the street has food court with decent local food.  But it is the swimming pool that makes this truly unique.  Nothing like it anywhere else.,5
